Date,Ticker,Open,High,Low,Close,Volume
2024-04-28,AAPL,135.00,136.50,134.20,136.20,1000000
2024-04-28,GOOGL,2400.00,2420.50,2395.00,2418.75,800000
2024-04-28,MSFT,250.50,253.25,250.00,252.10,1200000
2024-04-28,AMZN,3550.00,3580.00,3520.50,3575.80,600000
2024-04-27,AAPL,133.50,135.20,132.80,134.90,1200000
2024-04-27,GOOGL,2380.00,2405.00,2378.50,2400.30,900000
2024-04-27,MSFT,248.00,250.80,247.50,250.25,1100000
2024-04-27,AMZN,3510.50,3555.00,3500.25,3540.70,700000
2024-04-26,AAPL,130.80,133.90,130.50,133.60,1500000
2024-04-26,GOOGL,2360.50,2385.50,2359.00,2380.20,1000000
2024-04-26,MSFT,245.00,248.50,244.80,247.80,1300000
2024-04-26,AMZN,3480.20,3520.80,3475.00,3512.40,800000
2024-04-25,AAPL,128.50,131.20,128.00,130.90,1100000
2024-04-25,GOOGL,2335.00,2360.00,2330.50,2358.70,850000
2024-04-25,MSFT,242.80,245.75,242.00,245.50,1050000
2024-04-25,AMZN,3445.00,3485.50,3430.25,3480.90,750000
2024-04-24,AAPL,126.80,129.50,126.50,129.20,1300000
2024-04-24,GOOGL,2300.50,2335.20,2298.50,2330.40,950000
2024-04-24,MSFT,240.20,243.00,239.80,242.70,1150000
2024-04-24,AMZN,3400.50,3450.80,3395.00,3448.60,700000
2024-04-23,AAPL,125.00,128.20,124.80,127.80,1000000
2024-04-23,GOOGL,2280.00,2310.50,2275.00,2305.00,900000
2024-04-23,MSFT,238.00,241.50,237.80,241.20,1200000
2024-04-23,AMZN,3375.00,3420.50,3370.20,3405.80,800000
2024-04-20,AAPL,122.80,126.00,122.50,125.90,1100000
2024-04-20,GOOGL,2250.00,2290.50,2245.00,2288.20,850000
2024-04-20,MSFT,235.50,239.20,235.00,238.10,1300000
2024-04-20,AMZN,3330.00,3380.50,3325.00,3378.70,750000
2024-04-19,AAPL,120.50,124.20,120.00,123.80,1200000
2024-04-19,GOOGL,2225.00,2260.00,2220.50,2258.70,900000
2024-04-19,MSFT,233.80,237.75,233.00,237.50,1100000
2024-04-19,AMZN,3295.00,3345.50,3290.25,3340.90,700000
2024-04-18,AAPL,118.80,122.00,118.50,121.50,1300000
2024-04-18,GOOGL,2200.50,2240.50,2198.00,2238.20,950000
2024-04-18,MSFT,231.50,235.20,230.80,234.80,1150000
2024-04-18,AMZN,3260.50,3310.80,3255.00,3308.60,800000
2024-04-17,AAPL,116.50,120.20,116.00,119.80,1000000
2024-04-17,GOOGL,2180.00,2220.50,2178.00,2218.70,900000
2024-04-17,MSFT,229.80,233.75,229.00,233.50,1200000
2024-04-17,AMZN,3225.00,3275.50,3220.25,3270.90,800000
2024-04-16,AAPL,114.80,118.00,114.50,117.50,1100000
2024-04-16,GOOGL,2160.50,2200.50,2158.00,2198.20,850000
2024-04-16,MSFT,228.50,232.20,227.80,231.80,1300000
2024-04-16,AMZN,3190.50,3240.80,3185.00,3238.60,750000
2024-04-15,AAPL,112.50,116.20,112.00,115.80,1200000
2024-04-15,GOOGL,2140.00,2180.50,2138.00,2178.70,900000
2024-04-14,AAPL,110.80,114.00,110.50,113.50,1300000
2024-04-14,GOOGL,2120.50,2160.50,2118.00,2158.20,950000
2024-04-14,MSFT,226.50,230.20,225.80,229.80,1150000
2024-04-14,AMZN,3120.50,3170.80,3115.00,3168.60,800000
2024-04-13,AAPL,108.50,112.20,108.00,111.80,1000000
2024-04-13,GOOGL,2100.00,2140.50,2098.00,2138.70,900000
2024-04-13,MSFT,225.80,229.75,225.00,229.50,1200000
2024-04-13,AMZN,3095.00,3145.50,3090.25,3140.90,800000
2024-04-12,AAPL,106.80,110.00,106.50,109.50,1100000
2024-04-12,GOOGL,2080.50,2120.50,2078.00,2118.20,850000
2024-04-12,MSFT,224.50,228.20,223.80,227.80,1300000
2024-04-12,AMZN,3060.50,3110.80,3055.00,3108.60,750000
2024-04-11,AAPL,104.50,108.20,104.00,107.80,1200000
2024-04-11,GOOGL,2060.00,2100.50,2058.00,2098.70,900000
2024-04-11,MSFT,223.80,227.75,223.00,227.50,1100000
2024-04-11,AMZN,3025.00,3075.50,3020.25,3070.90,700000
2024-04-10,AAPL,102.80,106.00,102.50,105.50,1300000
2024-04-10,GOOGL,2040.50,2080.50,2038.00,2078.20,950000
2024-04-10,MSFT,222.50,226.20,221.80,225.80,1150000
2024-04-10,AMZN,2990.50,3040.80,2985.00,3038.60,800000
2024-04-09,AAPL,100.50,104.20,100.00,103.80,1000000
2024-04-09,GOOGL,2020.00,2060.50,2018.00,2058.70,900000
2024-04-09,MSFT,221.80,225.75,221.00,225.50,1200000
2024-04-09,AMZN,2965.00,3015.50,2960.25,3010.90,800000
2024-04-08,AAPL,98.80,102.00,98.50,101.50,1100000
2024-04-08,GOOGL,2000.50,2040.50,1998.00,2038.20,850000
2024-04-08,MSFT,220.50,224.20,219.80,223.80,1300000
2024-04-08,AMZN,2930.50,2980.80,2925.00,2978.60,750000
2024-04-07,AAPL,96.50,100.20,96.00,99.80,1000000
2024-04-07,GOOGL,1980.00,2020.50,1978.00,2018.70,900000
2024-04-07,MSFT,219.80,223.75,219.00,223.50,1200000
2024-04-07,AMZN,2905.00,2955.50,2900.25,2950.90,800000
2024-04-06,AAPL,94.80,98.00,94.50,97.50,1300000
2024-04-06,GOOGL,1960.50,2000.50,1958.00,1998.20,950000
2024-04-06,MSFT,218.50,222.20,217.80,221.80,1150000
2024-04-06,AMZN,2880.50,2930.80,2875.00,2928.60,800000
2024-04-05,AAPL,92.50,96.20,92.00,95.80,1200000
2024-04-05,GOOGL,1940.00,1980.50,1938.00,1978.70,900000
2024-04-05,MSFT,217.80,221.75,217.00,221.50,1100000
2024-04-05,AMZN,2855.00,2905.50,2850.25,2900.90,700000
2024-04-04,AAPL,90.80,94.00,90.50,93.50,1300000
2024-04-04,GOOGL,1920.50,1960.50,1918.00,1958.20,950000
2024-04-04,MSFT,216.50,220.20,215.80,219.80,1150000
2024-04-04,AMZN,2830.50,2880.80,2825.00,2878.60,800000
2024-04-03,AAPL,88.50,92.20,88.00,91.80,1000000
2024-04-03,GOOGL,1900.00,1940.50,1898.00,1938.70,900000
2024-04-03,MSFT,215.80,219.75,215.00,219.50,1200000
2024-04-03,AMZN,2805.00,2855.50,2800
